"filename", "language", "JSON", "XML", "JavaScript", "YAML", "PostCSS", "Markdown", "Handlebars", "HTML", "SCSS", "comment", "blank", "total"
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\scss\global\_window.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 585, 36, 56, 677
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\scss\utils\_colors.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 26, 2, 2, 30
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\scss\utils\_mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 3, 16
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\scss\utils\_typography.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 55, 6, 10, 71
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\scss\utils\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 3, 76, 3, 82
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\src\packs\alien-rpg-system\adventures_Alien_RPG_System_R8mjiz4iJkZGZMIw.json", "JSON", 4355, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4356
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\system.json", "JSON", 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 181
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\tables\fvtt-RollTable-panic-response-table-XtyZJcmvv0m6Epl4.json", "JSON", 331, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 332
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\tables\fvtt-RollTable-stress-response-table-phe9h1ufDbsXtaLT.json", "JSON", 216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 217
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\templates\active-effect\config-duration.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 36, 0, 0, 2, 4, 42
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\templates\active-effect\details.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 3, 21
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\templates\active-effect\targeted-condition-prompt.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 2, 17
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\templates\actor\character-enhanced-general.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 215, 0, 0, 0, 9, 224
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\templates\actor\character-enhanced-header.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 4, 77
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\templates\actor\character-general.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 252, 0, 0, 0, 14, 266
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\templates\actor\character-header.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 7, 70
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\templates\actor\character-inventory.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 308, 0, 0, 0, 14, 322
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\templates\actor\character-skills.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 3, 65
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\templates\actor\colony-general.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 149, 0, 0, 0, 1, 150
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\templates\actor\creature-general.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 2, 40
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\templates\actor\creature-header.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 1, 62
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\templates\actor\crt\crtui-character-general.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 269, 0, 0, 0, 13, 282
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\templates\actor\crt\crtui-character-header.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 6, 110
